6.968040000000000000e+05,9.400000000000000000e+01,9.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.968013687099351082e+05,9.412462339820480395e+01,9.501292121212121344e+01,1.481212121212121424e+00,1.253333333333333383e-02
6.967987215084907366e+05,9.426183488534137211e+01,9.601899146138926255e+01,2.972463439734588597e+00,2.520172282828282706e-02
6.967960583155492786e+05,9.441137889650856607e+01,9.701852570452497559e+01,4.473775594679796797e+00,3.800425502313473092e-02
6.967933790501643671e+05,9.457300751080558143e+01,9.801183088171401891e+01,5.985171384637050451e+00,5.094005845040472380e-02
6.967906836305659963e+05,9.474648024224300968e+01,9.899920614343335501e+01,7.506674745754972733e+00,6.400830256796659345e-02
6.967879719741652953e+05,9.493156383647759355e+01,9.998094307100363665e+01,9.038310730492048251e+00,7.720819672042437964e-02
6.967852439975595335e+05,9.512803207320891374e+01,1.009573258910418758e+02,1.058010548701708409e+01,9.053898912989152836e-02
6.967824996165366611e+05,9.533566557408103392e+01,1.019286316839838378e+02,1.213208623924188778e+01,1.039999659153637845e-01
6.967797387460794998e+05,9.555425161593615258e+01,1.028951305868410770e+02,1.369428126746894847e+01,1.175904501398949697e-01
6.967769613003697013e+05,9.578358394927191455e+01,1.038570859903527008e+02,1.526671988963738080e+01,1.313098008848071208e-01
6.967741671927919379e+05,9.602346262175788638e+01,1.048147547306877385e+02,1.684943244315088506e+01,1.451574123501874758e-01
6.967713563359371619e+05,9.627369380667073528e+01,1.057683872758495198e+02,1.844245026727188730e+01,1.591327129809458341e-01
6.967685286416062154e+05,9.653408963611178706e+01,1.067182279069293429e+02,2.004580568606650459e+01,1.732351646177257565e-01
6.967656840208132053e+05,9.680446803887410567e+01,1.076645148943525072e+02,2.165953199188539458e+01,1.874642616719829902e-01
6.967628223837881815e+05,9.708465258283010257e+01,1.086074806692560202e+02,2.328366342936594080e+01,2.018195303245633176e-01
6.967599436399803963e+05,9.737447232171427913e+01,1.095473519901331798e+02,2.491823517994168213e+01,2.163005277471307941e-01
6.967570476980606327e+05,9.767376164617907364e+01,1.104843501048766541e+02,2.656328334684523185e+01,2.309068413458152114e-01
6.967541344659238821e+05,9.798236013900528008e+01,1.114186909083479833e+02,2.821884494059136372e+01,2.456380880264654176e-01
6.967512038506914396e+05,9.830011243435171764e+01,1.123505850955977508e+02,2.988495786492729067e+01,2.604939134809118317e-01
6.967482557587132324e+05,9.862686808093205570e+01,1.132802383108575128e+02,3.156166090323749529e+01,2.754739914936581990e-01
6.967452900955696823e+05,9.896248140900981127e+01,1.142078512924208553e+02,3.324899370539090171e+01,2.905780232684391784e-01
6.967423067660733359e+05,9.930681140110561955e+01,1.151336200135279313e+02,3.494699677501842672e+01,3.058057367740952825e-01
6.967393056742707267e+05,9.965972156631362111e+01,1.160577358193646518e+02,3.665571145720938517e+01,3.211568861092323202e-01
6.967362867234437726e+05,1.000210798181269070e+02,1.169803855602844180e+02,3.837517992661539523e+01,3.366312508851476148e-01
6.967332498161110561e+05,1.003907583556746062e+02,1.179017517213575417e+02,4.010544517595094760e+01,3.522286356265188489e-01
6.967301948540289886e+05,1.007686335482758579e+02,1.188220125483503864e+02,4.184655100487990609e+01,3.679488691893665342e-01
6.967271217381927418e+05,1.011545858232186390e+02,1.197413421702335512e+02,4.359854200927765788e+01,3.837918041958132687e-01
